STATION_ID,DATETIME,VALUE,UNITS,SENSOR_NUMBER,DURATION,DATA_FLAG,SENSOR_TYPE,OBS_DATE,RESERVOIR_NAME,STATION_ID_INPUT
GBR,2005-01-01,17071388.6316574,M3,15,M, ,STORAGE,20050101 0000,GERBER,GBR
GBR,2005-02-01,17441433.182921648,M3,15,M,e,STORAGE,20050201 0000,GERBER,GBR
GBR,2005-03-01,26698714.373715635,M3,15,M, ,STORAGE,20050301 0000,GERBER,GBR
GBR,2005-04-01,32176607.214264084,M3,15,M, ,STORAGE,20050401 0000,GERBER,GBR
GBR,2005-05-01,56838843.0741888,M3,15,M, ,STORAGE,20050501 0000,GERBER,GBR
GBR,2005-06-01,48895220.0403829,M3,15,M,e,STORAGE,20050601 0000,GERBER,GBR
GBR,2005-07-01,36554234.25572016,M3,15,M, ,STORAGE,20050701 0000,GERBER,GBR
GBR,2005-08-01,24778183.15265418,M3,15,M, ,STORAGE,20050801 0000,GERBER,GBR
GBR,2005-09-01,15314910.494989758,M3,15,M, ,STORAGE,20050901 0000,GERBER,GBR
GBR,2005-10-01,15087949.83688102,M3,15,M, ,STORAGE,20051001 0000,GERBER,GBR
GBR,2005-11-01,19320026.021506492,M3,15,M,r,STORAGE,20051101 0000,GERBER,GBR
GBR,2005-12-01,54532232.03797497,M3,15,M, ,STORAGE,20051201 0000,GERBER,GBR
CLK,2005-01-01,78979842.05816641,M3,15,M, ,STORAGE,20050101 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-02-01,79177199.15217403,M3,15,M,e,STORAGE,20050201 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-03-01,85159586.06427939,M3,15,M,r,STORAGE,20050301 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-04-01,95607177.22830673,M3,15,M, ,STORAGE,20050401 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-05-01,127899731.73530027,M3,15,M, ,STORAGE,20050501 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-06-01,113208963.05010955,M3,15,M,e,STORAGE,20050601 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-07-01,87059148.09410255,M3,15,M, ,STORAGE,20050701 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-08-01,40470539.08993347,M3,15,M, ,STORAGE,20050801 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-09-01,68223880.43475223,M3,15,M, ,STORAGE,20050901 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-10-01,66385992.49680645,M3,15,M, ,STORAGE,20051001 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-11-01,75143713.5433937,M3,15,M, ,STORAGE,20051101 0000,CLEAR LK - KLAMATH R,CLK
CLK,2005-12-01,139062742.36510515,M3,15,M, ,STORAGE,20051201 0000,CLEAR LK - KLAMATH R,CLK
KLM,2005-01-01,436421909.3881936,M3,15,M, ,STORAGE,20050101 0000,UPPER KLAMATH,KLM
KLM,2005-02-01,430941549.58397007,M3,15,M,e,STORAGE,20050201 0000,UPPER KLAMATH,KLM
KLM,2005-03-01,571803941.950057,M3,15,M,r,STORAGE,20050301 0000,UPPER KLAMATH,KLM
KLM,2005-04-01,584230037.9815105,M3,15,M, ,STORAGE,20050401 0000,UPPER KLAMATH,KLM
KLM,2005-05-01,591880092.3379802,M3,15,M, ,STORAGE,20050501 0000,UPPER KLAMATH,KLM
KLM,2005-06-01,541251830.315843,M3,15,M,e,STORAGE,20050601 0000,UPPER KLAMATH,KLM
